CPF_CNPJ;TIPO_PESSOA;TIPO_DEVEDOR;NOME_DEVEDOR;UF_UNIDADE_RESPONSAVEL;UNIDADE_RESPONSAVEL;NUMERO_INSCRICAO;TIPO_SITUACAO_INSCRICAO;SITUACAO_INSCRICAO;TIPO_CREDITO;DATA_INSCRICAO;INDICADOR_AJUIZADO;VALOR_CONSOLIDADO;ARQUIVO_ORIGEM
04.596.672/0001-62;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA BANCO DO BRASIL;AC;ACRE;146468074;Em cobrança;PARCELAMENTO RESCINDIDO;OUTROS;01/09/2018;NAO;10028.91;PREVIDENCIARIO
04.596.672/0001-62;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA BANCO DO BRASIL;AC;ACRE;158532082;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;30/11/2019;NAO;25084.98;PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;Principal;RIO BRANCO FOOTBALL CLUB;AC;ACRE;479276684;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;12/09/2015;SIM;16844.92;PREVIDENCIARIO
12.367.512/0001-70;Pessoa jurídica;Principal;FEDERACAO ALAGOANA DE VELA E MOTOR;AL;ALAGOAS;130892394;Benefício Fiscal;NEGOCIADO NO SISPAR;OUTROS;07/01/2017;NAO;13776.30;PREVIDENCIARIO
03.572.215/0001-75;Pessoa jurídica;Principal;ECO PARK AQUATICO;AL;ALAGOAS;352618124;Em cobrança;CITACAO DO DEVEDOR;OUTROS;07/11/2003;SIM;14741.56;PREVIDENCIARIO
12.469.151/0001-72;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA CEAL;AL;ALAGOAS;351856781;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;30/04/2007;SIM;161086.96;PREVIDENCIARIO
12.469.151/0001-72;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA CEAL;AL;ALAGOAS;392674378;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;24/12/2011;NAO;3490.87;PREVIDENCIARIO
12.958.666/0001-36;Pessoa jurídica;Principal;CLUBE MARINA DA BARRA;AL;ALAGOAS;367179253;Benefício Fiscal;INCLUSAO EM PARCELAMENTO ESPECIAL LEI 12.996;OUTROS;02/04/2010;SIM;15662.54;PREVIDENCIARIO
12.958.666/0001-36;Pessoa jurídica;Principal;CLUBE MARINA DA BARRA;AL;ALAGOAS;394922280;Benefício Fiscal;INCLUSAO EM PARCELAMENTO ESPECIAL LEI 12.996;OUTROS;05/03/2011;SIM;7121.60;PREVIDENCIARIO
12.958.666/0001-36;Pessoa jurídica;Principal;CLUBE MARINA DA BARRA;AL;ALAGOAS;394922298;Benefício Fiscal;INCLUSAO EM PARCELAMENTO ESPECIAL LEI 12.996;OUTROS;05/03/2011;SIM;21184.27;PREVIDENCIARIO
12.958.666/0001-36;Pessoa jurídica;Principal;CLUBE MARINA DA BARRA;AL;ALAGOAS;403259789;Benefício Fiscal;INCLUSAO EM PARCELAMENTO ESPECIAL LEI 12.996;OUTROS;28/09/2013;NAO;11856.77;PREVIDENCIARIO
12.311.510/0001-69;Pessoa jurídica;Principal;CLUBE FENIX ALAGOANA;AL;ALAGOAS;120822288;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;26/07/2015;SIM;51827.94;PREVIDENCIARIO
12.311.510/0001-69;Pessoa jurídica;Principal;CLUBE FENIX ALAGOANA;AL;ALAGOAS;397253095;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;22/07/2011;SIM;19880.77;PREVIDENCIARIO
11.555.694/0001-40;Pessoa jurídica;Principal;M  FERREIRA DA SILVA BALNEARIO ME;AL;ALAGOAS;489541607;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;16/04/2018;NAO;2283.50;PREVIDENCIARIO
24.184.301/0001-80;Pessoa jurídica;Principal;CLUBE PIER MARINA DA BARRA;AL;ALAGOAS;120836378;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;26/07/2015;SIM;25082.39;PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;Principal;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;350751110;Suspenso por decisão judicial;SUSPENSAO DE EXIGIBILIDADE SEM DEPOSITO;OUTROS;20/05/2002;SIM;7041.70;PREVIDENCIARIO
12.439.568/0001-92;Pessoa jurídica;Principal;AGREMIACAO SPORTIVA ARAPIRAQUENSE;AL;ALAGOAS;129205010;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;22/08/2018;NAO;12174.31;PREVIDENCIARIO
25.319.155/0001-16;Pessoa jurídica;Principal;PALIM ESPORTES E EVENTOS LTDA;AL;ALAGOAS;146819314;Em cobrança;EM NEGOCIACAO NO SISPAR;OUTROS;15/09/2018;NAO;7189.11;PREVIDENCIARIO
08.629.693/0001-98;Pessoa jurídica;Principal;ASSOCIACAO DO PESSOAL DA CAIXA ECONOMICA FEDERAL;AL;ALAGOAS;363728767;Benefício Fiscal;Inclusao em Parcelamento Especial Lei 11.941;OUTROS;23/01/2009;NAO;697.09;PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;Principal;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;312081642;Suspenso por decisão judicial;SUSPENSAO DE EXIGIBILIDADE SEM DEPOSITO;OUTROS;30/07/1992;NAO;1985.16;PREVIDENCIARIO
12.311.510/0001-69;Pessoa jurídica;Principal;CLUBE FENIX ALAGOANA;AL;ALAGOAS;364680075;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;29/04/2009;SIM;82506.08;PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;Principal;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;350751145;Suspenso por decisão judicial;SUSPENSAO DE EXIGIBILIDADE SEM DEPOSITO;OUTROS;03/06/2002;SIM;7228.92;PREVIDENCIARIO
12.311.510/0001-69;Pessoa jurídica;Principal;CLUBE FENIX ALAGOANA;AL;ALAGOAS;130838039;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;22/10/2016;SIM;26889.89;PREVIDENCIARIO
12.311.510/0001-69;Pessoa jurídica;Principal;CLUBE FENIX ALAGOANA;AL;ALAGOAS;364680067;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;29/04/2009;SIM;8872.27;PREVIDENCIARIO
12.479.838/0001-99;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA BANCO DO BRASIL;AL;ALAGOAS;154733270;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;09/03/2019;NAO;109.67;PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;Principal;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;315849533;Suspenso por decisão judicial;SUSPENSAO DE EXIGIBILIDADE SEM DEPOSITO;OUTROS;01/06/1993;NAO;227893.30;PREVIDENCIARIO
12.439.568/0001-92;Pessoa jurídica;Principal;AGREMIACAO SPORTIVA ARAPIRAQUENSE;AL;ALAGOAS;320342964;Suspenso por decisão judicial;SUSPENSAO DE EXIGIBILIDADE SEM DEPOSITO;OUTROS;29/12/1994;SIM;720741.90;PREVIDENCIARIO
12.439.568/0001-92;Pessoa jurídica;Principal;AGREMIACAO SPORTIVA ARAPIRAQUENSE;AL;ALAGOAS;352616458;Suspenso por decisão judicial;SUSPENSAO DE EXIGIBILIDADE SEM DEPOSITO;OUTROS;16/07/2002;SIM;655710.91;PREVIDENCIARIO
12.469.151/0001-72;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA CEAL;AL;ALAGOAS;351856790;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;23/10/2006;SIM;76257.65;PREVIDENCIARIO
03.572.215/0001-75;Pessoa jurídica;Principal;ECO PARK AQUATICO;AL;ALAGOAS;362802840;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;23/01/2010;SIM;1645.91;PREVIDENCIARIO
03.572.215/0001-75;Pessoa jurídica;Principal;ECO PARK AQUATICO;AL;ALAGOAS;604533268;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;28/09/2013;SIM;26118.54;PREVIDENCIARIO
12.443.693/0001-76;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA BANCO DO BRASIL CORURIPE AL;AL;ALAGOAS;126463441;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;29/03/2017;NAO;1169.39;PREVIDENCIARIO
04.074.913/0001-03;Pessoa jurídica;Principal;MIGUELENSE FUTEBOL CLUBE;AL;ALAGOAS;154173800;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;16/02/2019;NAO;2709.10;PREVIDENCIARIO
35.561.786/0001-09;Pessoa jurídica;Principal;SPORT CLUB SANTA RITA;AL;ALAGOAS;155977431;Benefício Fiscal;NEGOCIADO NO SISPAR;OUTROS;06/04/2019;SIM;26339.24;PREVIDENCIARIO
12.479.838/0001-99;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA BANCO DO BRASIL;AL;ALAGOAS;150191162;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;12/10/2018;SIM;3777.66;PREVIDENCIARIO
12.311.510/0001-69;Pessoa jurídica;Principal;CLUBE FENIX ALAGOANA;AL;ALAGOAS;401029417;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;06/04/2012;SIM;18470.17;PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;Principal;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;117958948;Suspenso por decisão judicial;SUSPENSAO DE EXIGIBILIDADE SEM DEPOSITO;OUTROS;11/07/2015;NAO;94926.63;PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;Principal;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;312076827;Suspenso por decisão judicial;SUSPENSAO DE EXIGIBILIDADE SEM DEPOSITO;OUTROS;07/01/1994;NAO;4621.96;PREVIDENCIARIO
12.439.568/0001-92;Pessoa jurídica;Principal;AGREMIACAO SPORTIVA ARAPIRAQUENSE;AL;ALAGOAS;159921864;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;20/07/2019;NAO;18636.05;PREVIDENCIARIO
12.958.666/0001-36;Pessoa jurídica;Principal;CLUBE MARINA DA BARRA;AL;ALAGOAS;403259797;Benefício Fiscal;INCLUSAO EM PARCELAMENTO ESPECIAL LEI 12.996;OUTROS;05/07/2013;SIM;38052.16;PREVIDENCIARIO
05.323.379/0001-94;Pessoa jurídica;Principal;SOCIETY AQUAPARK LTDA;AL;ALAGOAS;480006075;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;31/12/2016;NAO;1613.22;PREVIDENCIARIO
35.561.786/0001-09;Pessoa jurídica;Principal;SPORT CLUB SANTA RITA;AL;ALAGOAS;155977440;Benefício Fiscal;NEGOCIADO NO SISPAR;OUTROS;06/04/2019;SIM;11822.35;PREVIDENCIARIO
12.311.510/0001-69;Pessoa jurídica;Principal;CLUBE FENIX ALAGOANA;AL;ALAGOAS;140142223;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;01/02/2018;SIM;26782.49;PREVIDENCIARIO
12.439.568/0001-92;Pessoa jurídica;Principal;AGREMIACAO SPORTIVA ARAPIRAQUENSE;AL;ALAGOAS;129326038;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;22/08/2018;NAO;41944.22;PREVIDENCIARIO
12.469.151/0001-72;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA CEAL;AL;ALAGOAS;127996591;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;25/03/2019;NAO;183.26;PREVIDENCIARIO
12.311.510/0001-69;Pessoa jurídica;Principal;CLUBE FENIX ALAGOANA;AL;ALAGOAS;140142215;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;01/02/2018;SIM;8797.69;PREVIDENCIARIO
12.311.510/0001-69;Pessoa jurídica;Principal;CLUBE FENIX ALAGOANA;AL;ALAGOAS;352619600;Em cobrança;CITACAO DO(S) SOCIO(S);CONTRIBUICAO NAO REPASSADA;16/12/2003;SIM;34236.04;PREVIDENCIARIO
11.555.694/0001-40;Pessoa jurídica;Principal;M  FERREIRA DA SILVA BALNEARIO ME;AL;ALAGOAS;489541593;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;16/04/2018;NAO;1689.66;PREVIDENCIARIO
24.180.812/0001-24;Pessoa jurídica;Principal;CLUBE DOS 30;AL;ALAGOAS;366354302;Benefício Fiscal;NEGOCIADO NO SISPAR;OUTROS;24/12/2011;SIM;34953.56;PREVIDENCIARIO
12.489.662/0001-56;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA BANCO DO BRASIL TRAIPU;AL;ALAGOAS;137457600;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;16/04/2018;NAO;10129.80;PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;Principal;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;399541900;Suspenso por decisão judicial;SUSPENSAO DE EXIGIBILIDADE SEM DEPOSITO;OUTROS;30/12/2011;SIM;42795.58;PREVIDENCIARIO
12.439.568/0001-92;Pessoa jurídica;Principal;AGREMIACAO SPORTIVA ARAPIRAQUENSE;AL;ALAGOAS;121826457;Suspenso por decisão judicial;SUSPENSAO DE EXIGIBILIDADE SEM DEPOSITO;OUTROS;27/12/2015;NAO;113730.03;PREVIDENCIARIO
12.439.568/0001-92;Pessoa jurídica;Principal;AGREMIACAO SPORTIVA ARAPIRAQUENSE;AL;ALAGOAS;314887547;Suspenso por decisão judicial;SUSPENSAO DE EXIGIBILIDADE SEM DEPOSITO;OUTROS;01/09/1993;SIM;68412.08;PREVIDENCIARIO
12.311.510/0001-69;Pessoa jurídica;Principal;CLUBE FENIX ALAGOANA;AL;ALAGOAS;397253060;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;22/07/2011;SIM;71426.17;PREVIDENCIARIO
08.629.693/0001-98;Pessoa jurídica;Principal;ASSOCIACAO DO PESSOAL DA CAIXA ECONOMICA FEDERAL;AL;ALAGOAS;363728759;Benefício Fiscal;Inclusao em Parcelamento Especial Lei 11.941;OUTROS;23/01/2009;NAO;45068.72;PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;Principal;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;350748802;Suspenso por decisão judicial;SUSPENSAO DE EXIGIBILIDADE SEM DEPOSITO;OUTROS;04/02/2002;SIM;497829.72;PREVIDENCIARIO
12.489.662/0001-56;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA BANCO DO BRASIL TRAIPU;AL;ALAGOAS;137457596;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;16/04/2018;NAO;2735.80;PREVIDENCIARIO
12.439.568/0001-92;Pessoa jurídica;Principal;AGREMIACAO SPORTIVA ARAPIRAQUENSE;AL;ALAGOAS;129326020;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;22/08/2018;NAO;46960.33;PREVIDENCIARIO
12.439.568/0001-92;Pessoa jurídica;Principal;AGREMIACAO SPORTIVA ARAPIRAQUENSE;AL;ALAGOAS;352616440;Suspenso por decisão judicial;SUSPENSAO DE EXIGIBILIDADE SEM DEPOSITO;OUTROS;06/07/2002;NAO;305058.94;PREVIDENCIARIO
12.311.510/0001-69;Pessoa jurídica;Principal;CLUBE FENIX ALAGOANA;AL;ALAGOAS;401029425;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;06/04/2012;SIM;53227.32;PREVIDENCIARIO
12.439.568/0001-92;Pessoa jurídica;Principal;AGREMIACAO SPORTIVA ARAPIRAQUENSE;AL;ALAGOAS;395940940;Suspenso por decisão judicial;SUSPENSAO DE EXIGIBILIDADE SEM DEPOSITO;OUTROS;07/05/2011;SIM;17696.44;PREVIDENCIARIO
04.074.913/0001-03;Pessoa jurídica;Principal;MIGUELENSE FUTEBOL CLUBE;AL;ALAGOAS;154173819;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;16/02/2019;NAO;9044.02;PREVIDENCIARIO
08.629.040/0001-09;Pessoa jurídica;Principal;SANTA CRUZ FUTEBOL CLUBE;AL;ALAGOAS;129334952;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;05/11/2016;NAO;1165.98;PREVIDENCIARIO
12.311.510/0001-69;Pessoa jurídica;Principal;CLUBE FENIX ALAGOANA;AL;ALAGOAS;123551480;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;29/11/2015;SIM;13100.38;PREVIDENCIARIO
02.638.650/0001-92;Pessoa jurídica;Principal;MURICI FUTEBOL CLUBE;AL;ALAGOAS;124428363;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;01/02/2018;SIM;17487.24;PREVIDENCIARIO
12.439.568/0001-92;Pessoa jurídica;Principal;AGREMIACAO SPORTIVA ARAPIRAQUENSE;AL;ALAGOAS;138722641;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;22/08/2018;NAO;8456.27;PREVIDENCIARIO
12.439.568/0001-92;Pessoa jurídica;Principal;AGREMIACAO SPORTIVA ARAPIRAQUENSE;AL;ALAGOAS;320342956;Suspenso por decisão judicial;SUSPENSAO DE EXIGIBILIDADE SEM DEPOSITO;OUTROS;29/12/1994;NAO;4232.95;PREVIDENCIARIO
12.469.151/0001-72;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA CEAL;AL;ALAGOAS;392674386;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;25/03/2019;NAO;1048.48;PREVIDENCIARIO
12.311.510/0001-69;Pessoa jurídica;Principal;CLUBE FENIX ALAGOANA;AL;ALAGOAS;414194357;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;06/04/2013;SIM;11925.68;PREVIDENCIARIO
04.274.733/0001-75;Pessoa jurídica;Principal;ARAGUA MOTO PARK LTDA;AL;ALAGOAS;120962624;Benefício Fiscal;INCLUIDO EM PARCELAMENTO SIMP. LEI 10.522;OUTROS;14/01/2017;SIM;4609.84;PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;Principal;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;399541896;Suspenso por decisão judicial;SUSPENSAO DE EXIGIBILIDADE SEM DEPOSITO;OUTROS;30/12/2011;SIM;62730.71;PREVIDENCIARIO
12.311.510/0001-69;Pessoa jurídica;Principal;CLUBE FENIX ALAGOANA;AL;ALAGOAS;423612913;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;21/07/2013;SIM;26658.23;PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;Principal;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;392670852;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;19/04/2019;NAO;14925.33;PREVIDENCIARIO
12.439.568/0001-92;Pessoa jurídica;Principal;AGREMIACAO SPORTIVA ARAPIRAQUENSE;AL;ALAGOAS;134069048;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;22/08/2018;NAO;22162.43;PREVIDENCIARIO
08.629.040/0001-09;Pessoa jurídica;Principal;SANTA CRUZ FUTEBOL CLUBE;AL;ALAGOAS;129334960;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;29/03/2017;NAO;1121.46;PREVIDENCIARIO
04.274.733/0001-75;Pessoa jurídica;Principal;ARAGUA MOTO PARK LTDA;AL;ALAGOAS;131603248;Benefício Fiscal;INCLUIDO EM PARCELAMENTO SIMP. LEI 10.522;OUTROS;28/01/2017;SIM;11755.22;PREVIDENCIARIO
24.184.301/0001-80;Pessoa jurídica;Principal;CLUBE PIER MARINA DA BARRA;AL;ALAGOAS;120836360;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;26/07/2015;SIM;7519.40;PREVIDENCIARIO
