CPF_CNPJ;TIPO_PESSOA;TIPO_DEVEDOR;NOME_DEVEDOR;UF_UNIDADE_RESPONSAVEL;UNIDADE_RESPONSAVEL;NUMERO_INSCRICAO;TIPO_SITUACAO_INSCRICAO;SITUACAO_INSCRICAO;RECEITA_PRINCIPAL;DATA_INSCRICAO;INDICADOR_AJUIZADO;VALOR_CONSOLIDADO;ARQUIVO_ORIGEM
04.521.001/0001-32;Pessoa jurídica;PRINCIPAL;PLACIDO DE CASTRO FUTEBOL CLUB;AC;ACRE;2251900023935;Em cobrança;ATIVA NAO AJUIZAVEL EM PROCESSO DE NEGOCIACAO NO SISPAR;Receita da dívida ativa - Multa - CLT;06/09/2019;NAO;1188.66;NAO_PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;PRINCIPAL;RIO BRANCO FOOTBALL CLUB;AC;ACRE;2261800029688;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;R D Ativa - Multa Isolada;29/03/2018;NAO;1620.96;NAO_PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;PRINCIPAL;RIO BRANCO FOOTBALL CLUB;AC;ACRE;2251700078531;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;09/08/2017;NAO;5793.71;NAO_PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;PRINCIPAL;RIO BRANCO FOOTBALL CLUB;AC;ACRE;2251700073068;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;11/07/2017;NAO;3143.84;NAO_PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;PRINCIPAL;RIO BRANCO FOOTBALL CLUB;AC;ACRE;2251400056664;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;15/07/2014;NAO;1618.47;NAO_PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;PRINCIPAL;RIO BRANCO FOOTBALL CLUB;AC;ACRE;2251800039660;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;06/07/2018;NAO;2091.13;NAO_PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;PRINCIPAL;RIO BRANCO FOOTBALL CLUB;AC;ACRE;2251700064239;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;11/07/2017;NAO;2896.82;NAO_PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;PRINCIPAL;RIO BRANCO FOOTBALL CLUB;AC;ACRE;2251600104794;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;07/10/2016;NAO;3679.03;NAO_PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;PRINCIPAL;RIO BRANCO FOOTBALL CLUB;AC;ACRE;2251800037705;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;06/07/2018;NAO;31884.14;NAO_PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;PRINCIPAL;RIO BRANCO FOOTBALL CLUB;AC;ACRE;2251800013008;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;14/02/2018;NAO;3178.51;NAO_PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;PRINCIPAL;RIO BRANCO FOOTBALL CLUB;AC;ACRE;2251700064310;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;11/07/2017;NAO;17153.62;NAO_PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;PRINCIPAL;RIO BRANCO FOOTBALL CLUB;AC;ACRE;2251600119554;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;07/10/2016;NAO;2564.33;NAO_PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;PRINCIPAL;RIO BRANCO FOOTBALL CLUB;AC;ACRE;2251600104603;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;07/10/2016;NAO;4928.90;NAO_PREVIDENCIARIO
11.483.635/0001-03;Pessoa jurídica;PRINCIPAL;C. NOGUEIRA DOS SANTOS;AC;ACRE;2241600076580;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;DIV ATIVA-SIMPLES NACIONAL;29/07/2016;NAO;7554.33;NAO_PREVIDENCIARIO
34.695.338/0001-27;Pessoa jurídica;PRINCIPAL;ATLETICO CLUBE JUVENTUS;AC;ACRE;2261800088005;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;R D Ativa - Multa Isolada;29/03/2018;NAO;15786.21;NAO_PREVIDENCIARIO
04.043.220/0001-53;Pessoa jurídica;PRINCIPAL;ASSOCIACAO DOS SERVIDORES DO INCRA DA C R QUATORZE;AC;ACRE;2261900166431;Em cobrança;ATIVA EM COBRANCA;R D Ativa - Multa Isolada;11/11/2019;NAO;6460.79;NAO_PREVIDENCIARIO
04.517.678/0001-05;Pessoa jurídica;PRINCIPAL;CLUBE DE CAMPO AGUAS DO QUINARI;AC;ACRE;2259300003300;Em cobrança;ATIVA AJUIZADA COM PETICAO DE ARQUIVAMENTO EMITIDA;Receita da dívida ativa - Multa - CLT;12/02/1993;SIM;504.76;NAO_PREVIDENCIARIO
04.517.678/0001-05;Pessoa jurídica;PRINCIPAL;CLUBE DE CAMPO AGUAS DO QUINARI;AC;ACRE;2259200001080;Em cobrança;ATIVA AJUIZADA;Receita da dívida ativa - Multa - CLT;18/11/1992;SIM;818.01;NAO_PREVIDENCIARIO
04.517.678/0001-05;Pessoa jurídica;PRINCIPAL;CLUBE DE CAMPO AGUAS DO QUINARI;AC;ACRE;2259300000700;Em cobrança;ATIVA AJUIZADA COM PETICAO DE ARQUIVAMENTO EMITIDA;Receita da dívida ativa - Multa - CLT;10/02/1993;SIM;724.16;NAO_PREVIDENCIARIO
04.517.678/0001-05;Pessoa jurídica;PRINCIPAL;CLUBE DE CAMPO AGUAS DO QUINARI;AC;ACRE;2259200001160;Em cobrança;ATIVA AJUIZADA COM PETICAO DE ARQUIVAMENTO EMITIDA;Receita da dívida ativa - Multa - CLT;18/11/1992;SIM;2989.00;NAO_PREVIDENCIARIO
04.517.678/0001-05;Pessoa jurídica;PRINCIPAL;CLUBE DE CAMPO AGUAS DO QUINARI;AC;ACRE;2259300002916;Em cobrança;ATIVA AJUIZADA COM PETICAO DE ARQUIVAMENTO EMITIDA;Receita da dívida ativa - Multa - CLT;12/02/1993;SIM;1856.72;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4350300205047;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;15/12/2003;SIM;25779.19;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4350300064206;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;03/04/2003;SIM;115653.30;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4380400009004;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - ITR - Exercício 1997 e posteriores;05/07/2004;SIM;3625.39;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4350300089977;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;06/05/2003;SIM;5668.15;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4351100034360;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;11/04/2011;SIM;10728.18;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4350300089896;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;06/05/2003;SIM;6343.28;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4380500006945;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - ITR - Exercício 1997 e posteriores;22/12/2005;SIM;3527.59;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4350300064125;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;03/04/2003;SIM;26738.42;NAO_PREVIDENCIARIO
12.430.641/0001-65;Pessoa jurídica;PRINCIPAL;ASSOCIACAO ATLETICA BANCO DO BRASIL;AL;ALAGOAS;4361800224704;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;R D Ativa - Multa Isolada;29/03/2018;NAO;1567.39;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4360600762712;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - SPU;21/09/2006;SIM;2458.34;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4361100138635;Benefício Fiscal;ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR;Receita da dívida ativa - Multas código eleit. leis conexas;28/04/2011;NAO;3800.50;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4360800301530;Benefício Fiscal;ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR;Receita da dívida ativa - SPU;18/11/2008;NAO;1047.90;NAO_PREVIDENCIARIO
09.329.178/0001-55;Pessoa jurídica;PRINCIPAL;CLUBE RECREATIVO DE GIRAU DO PONCIANO;AL;ALAGOAS;4360700041251;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;R D Ativa - Multa Isolada;14/02/2007;NAO;1116.12;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4350300064044;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;03/04/2003;SIM;2500.14;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4350700024260;Benefício Fiscal;ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;20/04/2007;NAO;5409.62;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4360600513763;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - SPU;12/07/2006;SIM;7051.28;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4360900012450;Benefício Fiscal;ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR;Receita da dívida ativa - Custas judiciais;16/03/2009;NAO;39.11;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4361400044555;Benefício Fiscal;ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR;Receita da dívida ativa - SPU;17/01/2014;NAO;5555.28;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4350300093141;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;06/05/2003;SIM;5700.28;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4380500006279;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - ITR - Exercício 1997 e posteriores;22/12/2005;SIM;3527.59;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4350300197354;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;01/09/2003;SIM;13593.82;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4350300064397;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;03/04/2003;SIM;5995.76;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4350200016633;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;15/05/2002;SIM;13785.99;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4361500155570;Benefício Fiscal;ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR;R D Ativa - Multa Isolada;08/05/2015;NAO;9674.02;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4360300097624;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - SPU;26/02/2003;SIM;15410.59;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4350300211608;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;18/12/2003;SIM;1177.50;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4359600007023;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;18/06/1996;SIM;2318.30;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4351100034794;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;11/04/2011;SIM;4846.70;NAO_PREVIDENCIARIO
12.489.662/0001-56;Pessoa jurídica;PRINCIPAL;ASSOCIACAO ATLETICA BANCO DO BRASIL TRAIPU;AL;ALAGOAS;4361900430985;Em cobrança;ATIVA EM COBRANCA;R D Ativa - Multa Isolada;22/08/2019;NAO;2046.92;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4350300079823;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;22/04/2003;SIM;22696.47;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4351100034280;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;11/04/2011;SIM;23249.95;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4350300218459;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;30/12/2003;SIM;25934.44;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4350300087761;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;02/05/2003;SIM;5119.44;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4351100034875;Benefício Fiscal;ATIVA AJUIZADA NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;11/04/2011;SIM;11517.30;NAO_PREVIDENCIARIO
12.183.299/0001-46;Pessoa jurídica;PRINCIPAL;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;4350700010049;Benefício Fiscal;ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR;Receita da dívida ativa - Multa - CLT;14/02/2007;NAO;4294.81;NAO_PREVIDENCIARIO
12.759.908/0001-62;Pessoa jurídica;PRINCIPAL;ASSOCIACAO ATLETICA BANCO DO BRASIL  UNIAO DOS PALMARESAL;AL;ALAGOAS;4361800410338;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;R D Ativa - Multa Isolada;29/03/2018;NAO;7482.64;NAO_PREVIDENCIARIO
12.759.908/0001-62;Pessoa jurídica;PRINCIPAL;ASSOCIACAO ATLETICA BANCO DO BRASIL  UNIAO DOS PALMARESAL;AL;ALAGOAS;4361500300847;Em cobrança;ATIVA AJUIZADA;R D Ativa - Multa Isolada;08/05/2015;SIM;5916.97;NAO_PREVIDENCIARIO
03.400.175/0001-84;Pessoa jurídica;PRINCIPAL;FEDERACAO DE KARATE DE SHOTOKAN DE ALAGOAS;AL;ALAGOAS;4361800078201;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;R D Ativa - Multa Isolada;29/03/2018;NAO;1434.07;NAO_PREVIDENCIARIO
10.580.643/0001-05;Pessoa jurídica;PRINCIPAL;ASSOCIACAO DE ESPORTE DA JATIUCA;AL;ALAGOAS;4361800182106;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;R D Ativa - Multa Isolada;29/03/2018;NAO;8423.06;NAO_PREVIDENCIARIO
04.563.007/0001-72;Pessoa jurídica;PRINCIPAL;GREMIO RECREATIVO TRIUNFO;AL;ALAGOAS;4361800093260;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;R D Ativa - Multa Isolada;29/03/2018;NAO;1529.99;NAO_PREVIDENCIARIO
01.207.616/0001-09;Pessoa jurídica;PRINCIPAL;GOL DE PLACA EMPREENDIMENTOS ESPORTIVOS LTDA;AL;ALAGOAS;4360200205344;Em cobrança;ATIVA AJUIZADA;Receita da dívida ativa - COFINS;18/10/2002;SIM;8110.36;NAO_PREVIDENCIARIO
02.154.851/0001-14;Pessoa jurídica;PRINCIPAL;VITORIA REGINA BONALDI FIGUEIREDO ROCHA;AL;ALAGOAS;4360600231865;Em cobrança;ATIVA COM PARCELAMENTO SIMPLIFICADO RESCINDIDO E AJUIZAM A PROSSEGUIR;R D Ativa - Multa Isolada;03/07/2006;SIM;5821.88;NAO_PREVIDENCIARIO
08.778.383/0009-92;Pessoa jurídica;PRINCIPAL;VALE DAS CASCATAS SA EMPREENDIMENTOS TURISTICOS;AL;ALAGOAS;4350200052940;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;05/12/2002;NAO;4165.37;NAO_PREVIDENCIARIO
08.778.383/0009-92;Pessoa jurídica;PRINCIPAL;VALE DAS CASCATAS SA EMPREENDIMENTOS TURISTICOS;AL;ALAGOAS;4350000079330;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;12/05/2000;NAO;431.56;NAO_PREVIDENCIARIO
08.439.762/0001-09;Pessoa jurídica;PRINCIPAL;ESPORTE CLUBE CRUZEIRO;AL;ALAGOAS;4361300050251;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Outras;21/03/2013;NAO;21530.42;NAO_PREVIDENCIARIO
08.778.383/0009-92;Pessoa jurídica;PRINCIPAL;VALE DAS CASCATAS SA EMPREENDIMENTOS TURISTICOS;AL;ALAGOAS;4350300229140;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;29/01/2003;NAO;5418.66;NAO_PREVIDENCIARIO
05.155.598/0001-01;Pessoa jurídica;PRINCIPAL;SOCIEDADE DESPORTIVA PENEDENSE;AL;ALAGOAS;4361500247423;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;R D Ativa - Multa Isolada;08/05/2015;NAO;1700.60;NAO_PREVIDENCIARIO
05.323.379/0001-94;Pessoa jurídica;PRINCIPAL;SOCIETY AQUAPARK LTDA;AL;ALAGOAS;4341900210476;Em cobrança;ATIVA EM COBRANCA;DIV ATIVA-SIMPLES NACIONAL;14/06/2019;NAO;1199.46;NAO_PREVIDENCIARIO
05.323.379/0001-94;Pessoa jurídica;PRINCIPAL;SOCIETY AQUAPARK LTDA;AL;ALAGOAS;4351800060003;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;20/04/2018;NAO;1150.24;NAO_PREVIDENCIARIO
05.323.379/0001-94;Pessoa jurídica;PRINCIPAL;SOCIETY AQUAPARK LTDA;AL;ALAGOAS;4341400192274;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;DIV ATIVA-SIMPLES NACIONAL;04/07/2014;NAO;4407.04;NAO_PREVIDENCIARIO
12.469.102/0001-30;Pessoa jurídica;PRINCIPAL;LINDOYA COUNTRY CLUB;AL;ALAGOAS;4370000035434;Em cobrança;ATIVA AJUIZADA;Receita da dívida ativa - PIS;10/08/2000;SIM;10718.18;NAO_PREVIDENCIARIO
12.469.102/0001-30;Pessoa jurídica;PRINCIPAL;LINDOYA COUNTRY CLUB;AL;ALAGOAS;4320000069839;Em cobrança;ATIVA AJUIZADA;Receita da dívida ativa - IRRF;17/08/2000;SIM;117203.58;NAO_PREVIDENCIARIO
12.842.050/0001-03;Pessoa jurídica;PRINCIPAL;LIGA ARAPIRAQUENSE DE FUTEBOL DE SALAO;AL;ALAGOAS;4360600411251;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;R D Ativa - Multa Isolada;03/07/2006;NAO;1763.42;NAO_PREVIDENCIARIO
06.242.442/0001-20;Pessoa jurídica;PRINCIPAL;ASSOCIACAO DE TRIATLETAS DE ALAGOAS;AL;ALAGOAS;4361800351307;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;R D Ativa - Multa Isolada;29/03/2018;NAO;1082.07;NAO_PREVIDENCIARIO
12.469.151/0001-72;Pessoa jurídica;PRINCIPAL;ASSOCIACAO ATLETICA CEAL;AL;ALAGOAS;4361600341804;Em cobrança;ATIVA A SER AJUIZADA;Receita da dívida ativa - SPU;11/10/2016;NAO;9143.43;NAO_PREVIDENCIARIO
12.469.151/0001-72;Pessoa jurídica;PRINCIPAL;ASSOCIACAO ATLETICA CEAL;AL;ALAGOAS;4361700128800;Em cobrança;ATIVA A SER AJUIZADA;Receita da dívida ativa - SPU;11/10/2017;NAO;8029.19;NAO_PREVIDENCIARIO
12.469.151/0001-72;Pessoa jurídica;PRINCIPAL;ASSOCIACAO ATLETICA CEAL;AL;ALAGOAS;4361300322197;Em cobrança;ATIVA AJUIZADA;Receita da dívida ativa - SPU;12/12/2013;SIM;14116.09;NAO_PREVIDENCIARIO
