CPF_CNPJ;TIPO_PESSOA;TIPO_DEVEDOR;NOME_DEVEDOR;UF_UNIDADE_RESPONSAVEL;UNIDADE_RESPONSAVEL;ENTIDADE_RESPONSAVEL;UNIDADE_INSCRICAO;NUMERO_INSCRICAO;TIPO_SITUACAO_INSCRICAO;SITUACAO_INSCRICAO;RECEITA_PRINCIPAL;DATA_INSCRICAO;INDICADOR_AJUIZADO;VALOR_CONSOLIDADO;ARQUIVO_ORIGEM
04.400.917/0001-34;Pessoa jurídica;Principal;ATLETICO RIO NEGRO CLUBE;AM;AMAZONAS;PGFN;AMAZONAS;FGAM201000351;Em cobrança;AJUIZADA;Contribuições FGTS;30/09/2010;SIM;69730.89;FGTS
04.400.917/0001-34;Pessoa jurídica;Principal;ATLETICO RIO NEGRO CLUBE;AM;AMAZONAS;PGFN;AMAZONAS;FGAM200600015;Em cobrança;AJUIZADA;Contribuições FGTS;31/05/2006;SIM;48562.37;FGTS
04.400.917/0001-34;Pessoa jurídica;Principal;ATLETICO RIO NEGRO CLUBE;AM;AMAZONAS;PGFN;AMAZONAS;FGAM201200492;Em cobrança;AJUIZADA;Contribuições FGTS;10/08/2012;SIM;2309.62;FGTS
04.400.917/0001-34;Pessoa jurídica;Principal;ATLETICO RIO NEGRO CLUBE;AM;AMAZONAS;PGFN;AMAZONAS;FGAM201500463;Em cobrança;AJUIZADA;Contribuições FGTS;29/12/2015;SIM;28071.69;FGTS
05.990.304/0001-67;Pessoa jurídica;Principal;FEDERACAO AMAPAENSE DE FUTEBOL;AP;AMAPA;PGFN;AMAPA;FGAP201000032;Em cobrança;AJUIZADA;Contribuições FGTS;15/07/2010;SIM;1460.01;FGTS
05.990.304/0001-67;Pessoa jurídica;Principal;FEDERACAO AMAPAENSE DE FUTEBOL;AP;AMAPA;PGFN;AMAPA;FGAP201400037;Em cobrança;INSCRITA;Contribuições FGTS;15/04/2014;NAO;1658.70;FGTS
00.406.727/0001-73;Pessoa jurídica;Principal;M C BARBOSA;AP;AMAPA;PGFN;AMAPA;FGAP200300053;Em cobrança;INSCRITA;Contribuições FGTS;15/01/2003;NAO;282.75;FGTS
02.436.823/0002-70;Pessoa jurídica;Principal;VITORIA SA;BA;BAHIA;PGFN;BAHIA;FGBA201200682;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;16/07/2012;SIM;97720.58;FGTS
15.217.003/0001-59;Pessoa jurídica;Principal;ESPORTE CLUBE VITORIA;BA;BAHIA;PGFN;BAHIA;FGBA201500517;Benefício Fiscal;INSCR PARCELADA;Contribuições FGTS;25/11/2015;NAO;22261.13;FGTS
15.217.003/0001-59;Pessoa jurídica;Principal;ESPORTE CLUBE VITORIA;BA;BAHIA;PGFN;BAHIA;FGBA199700237;Benefício Fiscal;INSCR PARCELADA;Contribuições FGTS;26/11/1997;NAO;78.56;FGTS
14.352.934/0001-05;Pessoa jurídica;Principal;GRAPIUNA TENIS CLUBE;BA;ILHEUS;PGFN;ILHEUS;FGBA000063336;Em cobrança;AJUIZADA;Contribuições FGTS;28/05/1985;SIM;5159.19;FGTS
14.352.934/0001-05;Pessoa jurídica;Principal;GRAPIUNA TENIS CLUBE;BA;ILHEUS;PGFN;ILHEUS;FGBA000051099;Em cobrança;AJUIZADA;Contribuições FGTS;30/08/1982;SIM;22531.44;FGTS
14.352.934/0001-05;Pessoa jurídica;Principal;GRAPIUNA TENIS CLUBE;BA;ILHEUS;PGFN;BAHIA;FGBA200700246;Em cobrança;AJUIZADA;Contribuições FGTS;02/10/2007;SIM;82780.00;FGTS
14.352.934/0001-05;Pessoa jurídica;Principal;GRAPIUNA TENIS CLUBE;BA;ILHEUS;PGFN;BAHIA;FGBA200800079;Em cobrança;AJUIZADA;Contribuições FGTS;20/03/2008;SIM;10100.39;FGTS
15.191.513/0001-02;Pessoa jurídica;Principal;CLUBE CARNAVALESCO FANTOCHES DA EUTERPE;BA;BAHIA;PGFN;BAHIA;FGBA199800099;Benefício Fiscal;INSCR PARCELADA;Contribuições FGTS;30/06/1998;NAO;655.00;FGTS
13.678.628/0001-92;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA BANCO DO BRASIL;BA;VITORIA DA CONQUISTA;PGFN;VITORIA DA CONQUISTA;FGBA201900968;Em cobrança;INSCRITA;Contribuições FGTS;26/08/2019;NAO;7730.78;FGTS
13.670.450/0001-33;Pessoa jurídica;Principal;CLUBE SOCIAL CULTURAL E RECREATIVO DE BRUMADO;BA;VITORIA DA CONQUISTA;PGFN;VITORIA DA CONQUISTA;CSBA201800556;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);19/09/2018;SIM;4220.56;FGTS
13.670.450/0001-33;Pessoa jurídica;Principal;CLUBE SOCIAL CULTURAL E RECREATIVO DE BRUMADO;BA;VITORIA DA CONQUISTA;PGFN;VITORIA DA CONQUISTA;FGBA201800555;Em cobrança;AJUIZADA;Contribuições FGTS;19/09/2018;SIM;56357.70;FGTS
13.695.341/0001-70;Pessoa jurídica;Principal;CRUZ DAS ALMAS CLUBE;BA;BAHIA;PGFN;BAHIA;FGBA201900127;Em cobrança;INSCRITA;Contribuições FGTS;15/03/2019;NAO;11287.59;FGTS
15.188.360/0001-36;Pessoa jurídica;Principal;CENTRO ESPANHOL;BA;BAHIA;PGFN;BAHIA;CSBA201400628;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);14/08/2014;SIM;39660.14;FGTS
15.188.360/0001-36;Pessoa jurídica;Principal;CENTRO ESPANHOL;BA;BAHIA;PGFN;BAHIA;FGBA201400627;Em cobrança;AJUIZADA;Contribuições FGTS;14/08/2014;SIM;254014.94;FGTS
15.188.360/0001-36;Pessoa jurídica;Principal;CENTRO ESPANHOL;BA;BAHIA;PGFN;BAHIA;FGBA201800563;Em cobrança;INSCRITA;Contribuições FGTS;25/09/2018;NAO;12826.61;FGTS
15.188.360/0001-36;Pessoa jurídica;Principal;CENTRO ESPANHOL;BA;BAHIA;PGFN;BAHIA;FGBA201000336;Em cobrança;AJUIZADA;Contribuições FGTS;22/12/2010;SIM;198984.83;FGTS
15.188.360/0001-36;Pessoa jurídica;Principal;CENTRO ESPANHOL;BA;BAHIA;PGFN;BAHIA;FGBA200700141;Em cobrança;AJUIZADA;Contribuições FGTS;02/08/2007;SIM;9242.69;FGTS
14.493.407/0001-02;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA BANCO DO BRASIL;BA;VITORIA DA CONQUISTA;PGFN;VITORIA DA CONQUISTA;FGBA201701761;Em cobrança;INSCRITA;Contribuições FGTS;03/08/2017;NAO;11397.23;FGTS
16.241.903/0001-02;Pessoa jurídica;Principal;ESPORTE CLUBE 22 DE OUTUBRO;BA;ILHEUS;PGFN;ILHEUS;FGBA000060028;Em cobrança;AJUIZADA;Contribuições FGTS;07/06/1983;SIM;16317.35;FGTS
15.179.518/0001-01;Pessoa jurídica;Principal;CLUBE DE REGATAS ITAPAGIPE;BA;BAHIA;PGFN;BAHIA;CSBA201200756;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);20/08/2012;SIM;1272.09;FGTS
15.179.518/0001-01;Pessoa jurídica;Principal;CLUBE DE REGATAS ITAPAGIPE;BA;BAHIA;PGFN;BAHIA;FGBA201200755;Em cobrança;AJUIZADA;Contribuições FGTS;20/08/2012;SIM;23379.09;FGTS
15.193.121/0001-74;Pessoa jurídica;Principal;CLUBE DOS OFICIAIS DA POLICIA MILITAR;BA;BAHIA;PGFN;BAHIA;FGBA201100229;Benefício Fiscal;INSCR PARCELADA;Contribuições FGTS;29/06/2011;NAO;42550.20;FGTS
42.696.740/0001-54;Pessoa jurídica;Principal;ASSOCIACAO CULTURAL E RECREATIVA ITUACUENSE ACRI;BA;VITORIA DA CONQUISTA;PGFN;VITORIA DA CONQUISTA;FGBA201701832;Em cobrança;INSCRITA;Contribuições FGTS;28/08/2017;NAO;16382.28;FGTS
02.436.823/0001-90;Pessoa jurídica;Principal;VITORIA SA;BA;BAHIA;PGFN;BAHIA;FGBA201500516;Benefício Fiscal;INSCR PARCELADA;Contribuições FGTS;25/11/2015;NAO;311065.39;FGTS
02.436.823/0001-90;Pessoa jurídica;Principal;VITORIA SA;BA;BAHIA;PGFN;BAHIA;FGBA201200685;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;16/07/2012;SIM;74816.48;FGTS
02.436.823/0001-90;Pessoa jurídica;Principal;VITORIA SA;BA;BAHIA;PGFN;BAHIA;FGBA201200684;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;16/07/2012;SIM;8622.57;FGTS
02.357.080/0001-62;Pessoa jurídica;Principal;ESPORTE CLUBE BAHIA SA;BA;BAHIA;PGFN;BAHIA;FGBA201500515;Benefício Fiscal;INSCR PARCELADA;Contribuições FGTS;25/11/2015;NAO;36132.50;FGTS
16.130.106/0001-40;Pessoa jurídica;Principal;ASSOCIACAO CULTURAL E RECREATIVA DE ALAGOINHAS;BA;BAHIA;PGFN;BAHIA;FGBA000051191;Em cobrança;AJUIZADA;Contribuições FGTS;13/10/1982;SIM;8173.81;FGTS
13.041.587/0001-29;Pessoa jurídica;Principal;ASSOCIACAO DESPORTIVA LEONICO;BA;BAHIA;PGFN;BAHIA;FGBA000002353;Em cobrança;AJUIZADA;Contribuições FGTS;31/10/1977;SIM;50135.49;FGTS
13.041.587/0001-29;Pessoa jurídica;Principal;ASSOCIACAO DESPORTIVA LEONICO;BA;BAHIA;PGFN;BAHIA;FGBA000002319;Em cobrança;AJUIZADA;Contribuições FGTS;30/09/1977;SIM;19557.65;FGTS
15.120.561/0001-00;Pessoa jurídica;Principal;ASSOCIACAO DOS MORADORES DO TANQUE VERMELHO;BA;BAHIA;PGFN;SERGIPE;FGBA000055070;Em cobrança;AJUIZADA;Contribuições FGTS;01/03/1983;SIM;815.33;FGTS
13.247.259/0001-83;Pessoa jurídica;Principal;COUNTRY CLUB PRIMAVERA;BA;VITORIA DA CONQUISTA;PGFN;VITORIA DA CONQUISTA;CSBA201700505;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);22/03/2017;SIM;54027.07;FGTS
13.247.259/0001-83;Pessoa jurídica;Principal;COUNTRY CLUB PRIMAVERA;BA;VITORIA DA CONQUISTA;PGFN;BAHIA;CSBA200900049;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);12/02/2009;SIM;268.06;FGTS
13.247.259/0001-83;Pessoa jurídica;Principal;COUNTRY CLUB PRIMAVERA;BA;VITORIA DA CONQUISTA;PGFN;VITORIA DA CONQUISTA;FGBA201700504;Em cobrança;AJUIZADA;Contribuições FGTS;22/03/2017;SIM;203557.77;FGTS
13.247.259/0001-83;Pessoa jurídica;Principal;COUNTRY CLUB PRIMAVERA;BA;VITORIA DA CONQUISTA;PGFN;VITORIA DA CONQUISTA;FGBA201700506;Em cobrança;AJUIZADA;Contribuições FGTS;22/03/2017;SIM;270812.16;FGTS
13.247.259/0001-83;Pessoa jurídica;Principal;COUNTRY CLUB PRIMAVERA;BA;VITORIA DA CONQUISTA;PGFN;BAHIA;FGBA200900048;Em cobrança;AJUIZADA;Contribuições FGTS;12/02/2009;SIM;10180.49;FGTS
15.193.923/0001-84;Pessoa jurídica;Principal;ESPORTE CLUBE BAHIA;BA;BAHIA;PGFN;BAHIA;FGBA201500514;Benefício Fiscal;INSCR PARCELADA;Contribuições FGTS;25/11/2015;NAO;6084231.30;FGTS
04.505.823/0001-20;Pessoa jurídica;Principal;CLUBE SOCIAL DE ILHEUS;BA;ILHEUS;PGFN;ILHEUS;FGBA201600155;Em cobrança;AJUIZADA;Contribuições FGTS;02/03/2016;SIM;101187.58;FGTS
15.191.471/0001-00;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA DA BAHIA;BA;BAHIA;PGFN;BAHIA;FGBA000060420;Em cobrança;AJUIZADA;Contribuições FGTS;29/09/1983;SIM;35979.48;FGTS
15.191.471/0001-00;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA DA BAHIA;BA;BAHIA;PGFN;BAHIA;FGBA000062095;Em cobrança;AJUIZADA;Contribuições FGTS;09/08/1983;SIM;87655.97;FGTS
15.191.471/0001-00;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA DA BAHIA;BA;BAHIA;PGFN;BAHIA;FGBA000004412;Em cobrança;AJUIZADA;Contribuições FGTS;14/10/1983;SIM;79777.43;FGTS
15.191.471/0001-00;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA DA BAHIA;BA;BAHIA;PGFN;BAHIA;FGBA000005077;Em cobrança;AJUIZADA;Contribuições FGTS;15/05/1984;SIM;222501.47;FGTS
15.191.471/0001-00;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA DA BAHIA;BA;BAHIA;PGFN;BAHIA;FGBA201400689;Em cobrança;AJUIZADA;Contribuições FGTS;25/08/2014;SIM;1304.90;FGTS
16.184.749/0001-76;Pessoa jurídica;Principal;CLUBE SOCIAL CONQUISTA;BA;VITORIA DA CONQUISTA;PGFN;VITORIA DA CONQUISTA;CSBA201500056;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);29/01/2015;SIM;9189.13;FGTS
16.184.749/0001-76;Pessoa jurídica;Principal;CLUBE SOCIAL CONQUISTA;BA;VITORIA DA CONQUISTA;PGFN;VITORIA DA CONQUISTA;FGBA201500055;Em cobrança;AJUIZADA;Contribuições FGTS;29/01/2015;SIM;74578.77;FGTS
15.131.162/0001-36;Pessoa jurídica;Principal;CLUBE BAHIANO DE TENIS;BA;BAHIA;PGFN;BAHIA;FGBA201401046;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;03/11/2014;SIM;28815.28;FGTS
15.131.162/0001-36;Pessoa jurídica;Principal;CLUBE BAHIANO DE TENIS;BA;BAHIA;PGFN;BAHIA;FGBA201702249;Benefício Fiscal;INSCR PARCELADA;Contribuições FGTS;27/12/2017;NAO;5612.68;FGTS
15.131.162/0001-36;Pessoa jurídica;Principal;CLUBE BAHIANO DE TENIS;BA;BAHIA;PGFN;BAHIA;FGBA200900323;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;24/08/2009;SIM;16539.20;FGTS
13.576.384/0001-37;Pessoa jurídica;Principal;JOCKEY CLUB DO SALVADOR;BA;BAHIA;PGFN;BAHIA;FGBA000060250;Em cobrança;AJUIZADA;Contribuições FGTS;05/07/1983;SIM;79448.12;FGTS
13.576.384/0001-37;Pessoa jurídica;Principal;JOCKEY CLUB DO SALVADOR;BA;BAHIA;PGFN;BAHIA;FGBA000004384;Em cobrança;AJUIZADA;Contribuições FGTS;19/08/1983;SIM;34224.86;FGTS
13.100.037/0001-33;Pessoa jurídica;Principal;CLUBE 2004 DA BAHIA;BA;BAHIA;PGFN;BAHIA;CSBA201700128;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);23/01/2017;SIM;3032.27;FGTS
13.100.037/0001-33;Pessoa jurídica;Principal;CLUBE 2004 DA BAHIA;BA;BAHIA;PGFN;BAHIA;FGBA201700127;Em cobrança;AJUIZADA;Contribuições FGTS;23/01/2017;SIM;46542.48;FGTS
13.983.291/0001-27;Pessoa jurídica;Principal;CLUBE DE CAMPO GUANAMBI;BA;VITORIA DA CONQUISTA;PGFN;VITORIA DA CONQUISTA;FGBA201500031;Benefício Fiscal;INSCR PARCELADA;Contribuições FGTS;12/01/2015;NAO;8943.66;FGTS
14.259.428/0001-68;Pessoa jurídica;Principal;ASSOCIACAO DESPORTIVA E CULTURAL COELBA ADELBA;BA;BAHIA;PGFN;BAHIA;CSBA201700443;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);09/03/2017;SIM;6474.54;FGTS
14.259.428/0001-68;Pessoa jurídica;Principal;ASSOCIACAO DESPORTIVA E CULTURAL COELBA ADELBA;BA;BAHIA;PGFN;BAHIA;FGBA201700444;Em cobrança;AJUIZADA;Contribuições FGTS;09/03/2017;SIM;24042.39;FGTS
14.259.428/0001-68;Pessoa jurídica;Principal;ASSOCIACAO DESPORTIVA E CULTURAL COELBA ADELBA;BA;BAHIA;PGFN;BAHIA;FGBA201700442;Em cobrança;AJUIZADA;Contribuições FGTS;09/03/2017;SIM;24918.26;FGTS
07.086.846/0001-35;Pessoa jurídica;Principal;BREJO SANTO UNIAO CLUBE;CE;CEARA;PGFN;CEARA;FGCE201100170;Em cobrança;INSCRITA;Contribuições FGTS;05/05/2011;NAO;6201.14;FGTS
06.953.442/0001-39;Pessoa jurídica;Principal;CABANA CLUBE;CE;JUAZEIRO DO NORTE;PGFN;CEARA;CSCE200600104;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);13/07/2006;SIM;37.66;FGTS
06.953.442/0001-39;Pessoa jurídica;Principal;CABANA CLUBE;CE;JUAZEIRO DO NORTE;PGFN;CEARA;FGCE200500037;Em cobrança;AJUIZADA;Contribuições FGTS;14/06/2005;SIM;3457.42;FGTS
05.461.637/0001-07;Pessoa jurídica;Principal;GREMIO RECREATIVO FERROVIARIO;CE;CEARA;PGFN;CEARA;FGCE201500399;Em cobrança;INSCRITA;Contribuições FGTS;15/09/2015;NAO;5760.75;FGTS
07.045.826/0001-16;Pessoa jurídica;Principal;FUTEBOL CLUBE ATLETICO CEARENSE;CE;CEARA;PGFN;CEARA;FGCE201300128;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;04/06/2013;SIM;14110.62;FGTS
07.045.826/0001-16;Pessoa jurídica;Principal;FUTEBOL CLUBE ATLETICO CEARENSE;CE;CEARA;PGFN;CEARA;FGCE201300127;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;04/06/2013;SIM;56844.01;FGTS
04.901.779/0001-77;Pessoa jurídica;Principal;ASSOCIACAO DESPORTIVA RECREATIVA E CULTURAL ICASA;CE;JUAZEIRO DO NORTE;PGFN;JUAZEIRO DO NORTE;CSCE201700517;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);14/12/2017;SIM;23957.35;FGTS
04.901.779/0001-77;Pessoa jurídica;Principal;ASSOCIACAO DESPORTIVA RECREATIVA E CULTURAL ICASA;CE;JUAZEIRO DO NORTE;PGFN;JUAZEIRO DO NORTE;FGCE201700516;Em cobrança;AJUIZADA;Contribuições FGTS;14/12/2017;SIM;474096.02;FGTS
09.443.730/0001-31;Pessoa jurídica;Principal;ASSOCIACAO DOS SUBTENENTES E SARGENTOS PMBM DO CEARA;CE;CEARA;PGFN;CEARA;CSCE201100567;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);23/11/2011;SIM;160.99;FGTS
09.443.730/0001-31;Pessoa jurídica;Principal;ASSOCIACAO DOS SUBTENENTES E SARGENTOS PMBM DO CEARA;CE;CEARA;PGFN;CEARA;CSCE201100565;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);23/11/2011;SIM;1438.88;FGTS
09.443.730/0001-31;Pessoa jurídica;Principal;ASSOCIACAO DOS SUBTENENTES E SARGENTOS PMBM DO CEARA;CE;CEARA;PGFN;CEARA;CSCE201500364;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);14/09/2015;SIM;14216.29;FGTS
09.443.730/0001-31;Pessoa jurídica;Principal;ASSOCIACAO DOS SUBTENENTES E SARGENTOS PMBM DO CEARA;CE;CEARA;PGFN;CEARA;FGCE201500363;Em cobrança;AJUIZADA;Contribuições FGTS;14/09/2015;SIM;52126.86;FGTS
09.443.730/0001-31;Pessoa jurídica;Principal;ASSOCIACAO DOS SUBTENENTES E SARGENTOS PMBM DO CEARA;CE;CEARA;PGFN;CEARA;FGCE201100564;Em cobrança;AJUIZADA;Contribuições FGTS;23/11/2011;SIM;5748.73;FGTS
09.443.730/0001-31;Pessoa jurídica;Principal;ASSOCIACAO DOS SUBTENENTES E SARGENTOS PMBM DO CEARA;CE;CEARA;PGFN;CEARA;FGCE201100566;Em cobrança;AJUIZADA;Contribuições FGTS;23/11/2011;SIM;11953.78;FGTS
09.443.730/0001-31;Pessoa jurídica;Principal;ASSOCIACAO DOS SUBTENENTES E SARGENTOS PMBM DO CEARA;CE;CEARA;PGFN;CEARA;FGCE200801371;Em cobrança;AJUIZADA;Contribuições FGTS;26/11/2008;SIM;7118.85;FGTS
07.276.074/0001-02;Pessoa jurídica;Principal;CLUBE DE REGATAS BARRA DO CEARA;CE;CEARA;PGFN;CEARA;FGCE000051275;Em cobrança;AJUIZADA;Contribuições FGTS;27/01/1983;SIM;34084.04;FGTS
07.276.074/0001-02;Pessoa jurídica;Principal;CLUBE DE REGATAS BARRA DO CEARA;CE;CEARA;PGFN;CEARA;FGCE000054228;Em cobrança;AJUIZADA;Contribuições FGTS;16/05/1984;SIM;10227.68;FGTS
07.276.074/0001-02;Pessoa jurídica;Principal;CLUBE DE REGATAS BARRA DO CEARA;CE;CEARA;PGFN;CEARA;FGCE000006168;Em cobrança;AJUIZADA;Contribuições FGTS;11/04/1989;SIM;56531.08;FGTS
05.464.789/0001-55;Pessoa jurídica;Principal;ASSOCIACAO DOS PROFISSIONAIS UNIVERSITARIOS DO CARIRI;CE;JUAZEIRO DO NORTE;PGFN;CEARA;FGCE200800513;Em cobrança;AJUIZADA;Contribuições FGTS;23/04/2008;SIM;7342.40;FGTS
07.951.247/0001-32;Pessoa jurídica;Principal;CLUBE DO MEDICO;CE;CEARA;PGFN;CEARA;CSCE201600678;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);04/11/2016;SIM;9835.96;FGTS
07.951.247/0001-32;Pessoa jurídica;Principal;CLUBE DO MEDICO;CE;CEARA;PGFN;CEARA;FGCE201600677;Em cobrança;AJUIZADA;Contribuições FGTS;04/11/2016;SIM;36382.56;FGTS
07.301.690/0001-68;Pessoa jurídica;Principal;CLUBE DOS DIARIOS;CE;CEARA;PGFN;CEARA;FGCE201900345;Em cobrança;INSCRITA;Contribuições FGTS;07/08/2019;NAO;5424.70;FGTS
06.252.967/0001-47;Pessoa jurídica;Principal;HORIZONTE FUTEBOL CLUBE;CE;CEARA;PGFN;CEARA;FGCE201200199;Benefício Fiscal;INSCR PARCELADA;Contribuições FGTS;27/12/2012;NAO;6410.89;FGTS
07.869.985/0001-35;Pessoa jurídica;Principal;ASSOCIACAO ESPORTIVA TIRADENTES;CE;CEARA;PGFN;CEARA;FGCE200900117;Em cobrança;AJUIZADA;Contribuições FGTS;20/02/2009;SIM;11533.05;FGTS
07.869.985/0001-35;Pessoa jurídica;Principal;ASSOCIACAO ESPORTIVA TIRADENTES;CE;CEARA;PGFN;CEARA;FGCE200700500;Em cobrança;AJUIZADA;Contribuições FGTS;13/11/2007;SIM;6865.26;FGTS
07.278.203/0001-93;Pessoa jurídica;Principal;CLUBE DO ADVOGADO;CE;CEARA;PGFN;CEARA;CSCE200900478;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);30/06/2009;SIM;1361.25;FGTS
07.278.203/0001-93;Pessoa jurídica;Principal;CLUBE DO ADVOGADO;CE;CEARA;PGFN;CEARA;FGCE200900477;Em cobrança;AJUIZADA;Contribuições FGTS;30/06/2009;SIM;33366.00;FGTS
00.326.645/0001-19;Pessoa jurídica;Principal;CLUBE PRIMAVERA;DF;1ª REGIÃO;PGFN;1ª REGIÃO;CSDF200700248;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);17/07/2007;SIM;198.64;FGTS
00.326.645/0001-19;Pessoa jurídica;Principal;CLUBE PRIMAVERA;DF;1ª REGIÃO;PGFN;1ª REGIÃO;FGDF200700247;Em cobrança;AJUIZADA;Contribuições FGTS;17/07/2007;SIM;26682.34;FGTS
00.614.206/0001-01;Pessoa jurídica;Principal;ASMIC ASSOCIACAO DOS SERV DO MIN DA IND E DO COMERCIO;DF;1ª REGIÃO;PGFN;1ª REGIÃO;FGDF000004420;Em cobrança;AJUIZADA;Contribuições FGTS;21/05/1989;SIM;78173.66;FGTS
